text,category
phonepe nutrabay zumba classes,Fitness
h&m winter jacket payment,Shopping
makemytrip booking,Travel
paytm uber auto fare,Transport
swimming pool membership via nutrabay payment,Fitness
phonepe hp gas broadband recharge,Bills
upi blinkit monthly ration,Grocery
monthly eggs payment,Grocery
trip to hyderabad,Travel
upi invested in bonds,Investment
makemytrip flight to bali payment,Travel
phonepe zerodha ppf contribution,Investment
museum entry via paytm movies payment,Entertainment
dmart monthly ration payment,Grocery
sandwich from empire restaurant payment,Food
hotel in chennai via cleartrip,Travel
paytm workshop for school,Education
tata power postpaid bill,Bills
crypto via zerodha,Investment
loan repayment,Others
upstox rd,Investment
paytm paid for protein powder order,Fitness
paid for vistara flight to kerala,Travel
consulting fee from startup payment,Salary
paid for trip to mumbai,Travel
phonepe train ticket manali,Travel
hospital bill at local chemist,Health
paid for paid traffic challan,Others
upi transfer for office rent,Rent
bought smartwatch from lifestyle,Shopping
sbi gold bees,Investment
paid for bigbasket fruits,Grocery
zara perfume,Shopping
neft from employer from tcs,Salary
phonepe bought veggies from zepto,Grocery
bought milk from dmart payment,Grocery
train ticket pune,Travel
payment received from accenture,Salary
bike petrol refill,Transport
phonepe hotel in mumbai via oyo,Travel
paid for shell auto fare,Transport
paid for cognizant consulting fee,Salary
paytm physiotherapy at lal path labs,Health
wifi bill for bsnl payment,Bills
bigbasket groceries,Grocery
paytm received payment received,Salary
paid for upi transfer for hostel room rent,Rent
paid for mcdonalds shawarma,Food
local bakery chole bhature,Food
bought eggs from bigbasket,Grocery
tickets on spotify,Entertainment
upi paid for theme park,Entertainment
upi unknown upi transfer payment,Others
paid for tcs neft from employer,Salary
max fashion order payment,Shopping
paid for protein powder order via muscleblaze,Fitness
protein powder order via muscleblaze,Fitness
star bazaar rice and dal payment,Grocery
hotel in mumbai via vistara,Travel
paid fine payment payment,Others
phonepe paid for badminton court booking,Fitness
phonepe paid pg accommodation,Rent
paid for badminton court booking via anytime fitness,Fitness
upi anytime fitness whey protein,Fitness
paid for metro recharge via hpcl,Transport
room maintenance payment,Rent
nifty 50 via binance payment,Investment
paytm coin nifty 50,Investment
paid for theme park via paytm movies,Entertainment
bought snacks from local kirana,Grocery
paytm trip to pune,Travel
eye checkup at fortis,Health
paid for dtc uber ride to airport,Transport
project advance from cognizant,Salary
paid for upwork neft from employer,Salary
paid for agoda flight to jaipur,Travel
paid broadband recharge,Bills
upi upi fine payment,Others
upi shopping at reliance digital,Shopping
phonepe upi to kfc,Food
protein powder order via f45 payment,Fitness
accenture salary credited,Salary
paid for tickets on pvr,Entertainment
paytm reliance digital running shoes,Shopping
cash withdrawal payment,Others
upi gift for friend,Others
fiverr stipend,Salary
upi water bill for jio,Bills
phonepe accenture payment received,Salary
shopping at meesho payment,Shopping
upi zepto groceries,Grocery
zara sneakers,Shopping
phonepe bmtc car diesel,Transport
paid for sandwich payment,Food
paid for paid exam registration fee,Education
payment received from upwork payment,Salary
inox subscription payment,Entertainment
tcs salary credited,Salary
paid for monthly pg accommodation,Rent
paid exam registration fee,Education
bought veggies from spencers payment,Grocery
paid for bought sunglasses from nike,Shopping
paid for paid for health checkup,Health
paid for sandwich from swiggy,Food
wipro neft from employer,Salary
upi cash withdrawal payment,Others
puma order payment,Shopping
paytm netmeds dentist,Health
monthly office rent payment,Rent
paid for fastag recharge,Transport
empire restaurant chicken biryani,Food
accenture consulting fee,Salary
tea from empire restaurant,Food
paid for cricket match ticket payment,Entertainment
paid for cricket match ticket via bookmyshow,Entertainment
upi paid workshop,Education
f45 fitness band payment,Fitness
paytm monthly gas booking,Bills
phonepe monthly flat rent,Rent
phonepe upi app error,Others
escape room via youtube premium,Entertainment
yoga subscription via golds gym payment,Fitness
paid for hotel in hyderabad via makemytrip,Travel
paid dth recharge,Bills
phonepe groww fd,Investment
paid for tuition fee for byjus,Education
paid for trip to goa,Travel
paid for hotel in bangalore via indigo,Travel
puma running shoes,Shopping
train ticket bangalore,Travel
local kirana groceries,Grocery
bought laptop from myntra payment,Shopping
blood test at fortis,Health
tickets on bookmyshow payment,Entertainment
paid for yoga subscription via myprotein,Fitness
upi lease agreement fee payment,Rent
cult fit creatine,Fitness
myprotein badminton court booking,Fitness
upi movie night booking via spotify,Entertainment
lunch at eats,Food
paid for ipl ticket via netflix,Entertainment
phonepe tickets on steam,Entertainment
upi monthly dth recharge,Bills
gym trainer fee via golds gym,Fitness
tata power gas booking,Bills
course for edx payment,Education
paid for monthly cleaning supplies,Grocery
medplus physiotherapy,Health
upi loan repayment,Others
college books purchase,Education
paid for hotel in goa via ksrtc,Travel
paid course,Education
monthly milk,Grocery
paid school bus fee,Education
paytm electricity bill payment for bwssb,Bills
airbnb flight to chennai,Travel
phonepe delhi metro uber ride to airport,Transport
upi cafe coffee day order,Food
consulting fee from infosys,Salary
airbnb flight to mumbai payment,Travel
water bill for jio payment,Bills
bonus from freelance,Salary
paid for tea from zomato,Food
certification fee for unacademy,Education
phonepe upi pocket money,Others
upi momos from kfc,Food
paid for golds gym badminton court booking,Fitness
paid for monthly flat rent,Rent
paytm traffic challan,Others
paytm myprotein swimming pool membership,Fitness
lunch at swiggy payment,Food
paid for university stationery,Education
upi payment received from wipro,Salary
paid for paid pocket money,Others
upi transfer for hostel room rent,Rent
upi paid apartment monthly rent,Rent
received project advance payment,Salary
paid for paid loan repayment,Others
paytm puma laptop,Shopping
unacademy stationery payment,Education
upi paid cash withdrawal,Others
monthly water bill payment,Bills
college course,Education
ipl ticket via netflix,Entertainment
fine payment payment,Others
stationery for school payment,Education
paid for ipo application via wazirx,Investment
trip to jaipur,Travel
upi rd via wazirx,Investment
cab ride via delhi metro,Transport
paid for ipl ticket payment,Entertainment
paid office rent,Rent
paytm paid certification fee,Education
monthly eggs,Grocery
phonepe nayara toll tax,Transport
phonepe shell office commute,Transport
upi trip to chennai,Travel
phonepe paid for pastries,Food
tcs neft from employer,Salary
local chemist physiotherapy,Health
train ticket kerala payment,Travel
upi bescom gas booking,Bills
invested in bonds payment,Investment
crypto via sbi,Investment
jio gas booking payment,Bills
icici direct nps,Investment
paytm muscleblaze protein powder order,Fitness
upi paid society maintenance,Rent
paid for paid for cab ride,Transport
upi salary credited from fiverr,Salary
phonepe angel one nps,Investment
paytm air india flight to kerala,Travel
lifestyle order,Shopping
mseb gas booking,Bills
upi stipend from freelance,Salary
blinkit snacks,Grocery
paid for makemytrip flight to jaipur,Travel
received consulting fee,Salary
phonepe paid for fastag recharge,Transport
paytm paid petrol pump cash,Others
upi makemytrip flight to pune,Travel
upi kfc coffee,Food
paid for eye checkup,Health
paid for wifi bill for mseb,Bills
monthly postpaid bill payment,Bills
upi paid for marathon registration,Fitness
electricity bill payment,Bills
upi eye checkup at netmeds,Health
phonepe train ticket pune,Travel
paid water bill payment,Bills
phonepe paid office rent,Rent
shopping at max fashion,Shopping
bonds via etmoney,Investment
upi anytime fitness marathon registration,Fitness
dentist at pharmeasy,Health
phonepe eats order,Food
myprotein whey protein payment,Fitness
upi monthly milk,Grocery
paytm lunch at mcdonalds,Food
paid college semester fee,Education
paid for college workshop,Education
nps via etmoney,Investment
paytm hpcl car diesel,Transport
local gym badminton court booking,Fitness
upi paid for gaming,Entertainment
upi upi transfer for office rent,Rent
upi music festival via sony liv,Entertainment
paytm hospital bill at 1mg,Health
paid for petrol pump cash,Others
upi swiggy veggies,Grocery
tickets on netflix,Entertainment
received bonus payment,Salary
phonepe paid for swimming pool membership,Fitness
paid exam registration fee payment,Education
bought veggies from swiggy,Grocery
phonepe school bus fee for edx,Education
dtc auto fare,Transport
gas booking for adani electricity,Bills
upi coin crypto,Investment
phonepe paid for chicken biryani,Food
paytm paid office rent,Rent
doctor consultation at local chemist,Health
paytm paid for museum entry,Entertainment
paid for gym trainer fee via cult fit,Fitness
paid for upi transfer for apartment monthly rent,Rent
blusmart car diesel,Transport
trip to singapore,Travel
paid for local gym badminton court booking,Fitness
upi loan repayment payment,Others
paytm decathlon order,Shopping
upi golds gym badminton court booking,Fitness
shopping at flipkart,Shopping
phonepe paid for zumba classes,Fitness
hotel in goa via agoda,Travel
hotel in dubai via yatra payment,Travel
paytm blinkit cleaning supplies,Grocery
car diesel via bmtc,Transport
monthly security deposit payment,Rent
paid certification fee,Education
paid for amazon prime subscription,Entertainment
paid for fiverr salary credited,Salary
upi upi gift for friend,Others
phonepe received stipend,Salary
paytm fiverr bonus,Salary
upi to cafe coffee day payment,Food
consulting fee from accenture,Salary
paytm property tax for bescom,Bills
movie night booking,Entertainment
dtc metro recharge,Transport
trip to mumbai,Travel
phonepe standup comedy via hotstar,Entertainment
upi certification fee for byjus,Education
paid for received neft from employer,Salary
mcgm postpaid bill payment,Bills
sony liv subscription,Entertainment
phonepe postpaid bill for bsnl,Bills
accenture bonus,Salary
phonepe upi transfer for lease agreement fee,Rent
etmoney stock market investment payment,Investment
paytm max fashion order,Shopping
upi bought rice and dal from instamart,Grocery
paid for museum entry via paytm movies,Entertainment
phonepe wifi bill for mcgm,Bills
upi bought monthly ration from swiggy,Grocery
salary credited from freelance,Salary
bought monthly ration from swiggy,Grocery
paid for fastag recharge via rapido,Transport
phonepe payment received from cognizant,Salary
paytm paid for bus ticket,Transport
air india flight to delhi,Travel
dth recharge for indane,Bills
paid for monthly office rent,Rent
bonds via sbi,Investment
tuition fee for edx,Education
paytm monthly rice and dal,Grocery
tata power water bill,Bills
tata power wifi bill,Bills
vitamins at apollo pharmacy,Health
anytime fitness creatine,Fitness
whey protein via healthkart,Fitness
exam registration fee,Education
paid for coffee from zomato,Food
invested in ppf contribution payment,Investment
paid for coin ipo application,Investment
upi bought veggies from zepto,Grocery
upi hpcl car diesel,Transport
phonepe kuvera mutual fund sip,Investment
phonepe bike petrol refill via delhi metro,Transport
paid for electricity bill payment for bescom,Bills
binance stock market investment,Investment
paid for paid for marathon registration,Fitness
paid for paid for metro recharge,Transport
bwssb wifi bill,Bills
upi goibibo flight to chennai,Travel
lunch at local bakery,Food
paid for paid fine payment,Others
badminton court booking via myprotein payment,Fitness
fortis surgical mask,Health
paid for cash withdrawal,Others
paytm zumba classes via local gym,Fitness
phonepe upi cash withdrawal,Others
upi bought electronics from h&m,Shopping
whey protein via anytime fitness payment,Fitness
hotel in kerala via vistara payment,Travel
paytm books purchase for simplilearn,Education
paid for zepto cleaning supplies,Grocery
paid traffic challan payment,Others
phonepe xray at lal path labs,Health
bought rice and dal from local kirana payment,Grocery
paytm paid hostel room rent,Rent
paid room maintenance payment,Rent
paytm monthly shop rent,Rent
upi healthkart yoga subscription,Fitness
hp gas mobile recharge,Bills
paytm epic games subscription,Entertainment
1mg xray,Health
paid for paid books purchase,Education
paid lease agreement fee payment,Rent
upi lunch at mcdonalds,Food
paid for escape room via paytm movies,Entertainment
delhi metro fastag recharge,Transport
tickets on amazon prime payment,Entertainment
paytm received bonus,Salary
paytm angel one ppf contribution,Investment
paid petrol pump cash,Others
paid for pastries payment,Food
upwork neft from employer,Salary
paytm thali from udipi darshini,Food
upi puma watch,Shopping
security deposit payment payment,Rent
paytm namma metro bus ticket,Transport
paid for metro recharge,Transport
paytm bought smartwatch from reliance digital,Shopping
upi nps via hdfc,Investment
upi stationery for school,Education
phonepe monthly dth recharge,Bills
phonepe f45 whey protein,Fitness
freelance salary payment from upwork,Salary
cricket match ticket via hotstar,Entertainment
nifty 50 via zerodha,Investment
paid for meesho order,Shopping
phonepe upi to mcdonalds,Food
paytm upi transfer for society maintenance,Rent
received project advance,Salary
bought monthly ration from star bazaar,Grocery
upi to haldirams payment,Food
phonepe tickets on pvr,Entertainment
phonepe paid charity donation,Others
monthly hostel room rent payment,Rent
paytm srl diagnostics doctor consultation,Health
paid for paid for creatine,Fitness
gold bees via coin,Investment
paytm received neft from employer,Salary
paid for doctor consultation at fortis,Health
paid for lunch at eats,Food
paytm upi fine payment,Others
phonepe mcgm postpaid bill,Bills
zara headphones,Shopping
paid for invested in ipo application,Investment
coin crypto,Investment
gold bees via groww,Investment
local tuition college semester fee payment,Education
upi upi transfer for apartment monthly rent,Rent
upi byjus tuition fee,Education
gym trainer fee via myprotein,Fitness
upi received project advance,Salary
upi shopping at myntra,Shopping
paid pg accommodation payment,Rent
bonus from client,Salary
upi delhi metro fastag recharge,Transport
phonepe doctor consultation at lal path labs,Health
payment received from freelance payment,Salary
paytm hostel mess fee for simplilearn,Education
upi fine payment,Others
payment received from wipro payment,Salary
fine payment,Others
upi consulting fee from startup,Salary
neft from employer from infosys payment,Salary
paytm stipend from upwork,Salary
phonepe paid for surgical mask,Health
paid for tickets on paytm movies,Entertainment
paid for icici direct nps,Investment
paid for air india flight to mumbai,Travel
paid for monthly electricity bill payment,Bills
upi paid for concert tickets,Entertainment
bought dress from max fashion,Shopping
wifi bill for bescom,Bills
indigo flight to goa,Travel
barbeque nation thali payment,Food
upi app error,Others
traffic challan payment,Others
paid for mri scan payment,Health
paid for dinner shawarma,Food
phonepe bsnl postpaid bill,Bills
paid for bought rice and dal from reliance fresh,Grocery
phonepe hotel in kerala via yatra,Travel
paid for simplilearn hostel mess fee,Education
paytm amazon prime subscription,Entertainment
phonepe ksrtc booking,Travel
phonepe train ticket bangalore,Travel
phonepe paid for protein powder order,Fitness
phonepe yatra flight to goa,Travel
upi bought sunglasses from croma,Shopping
upi transfer for lease agreement fee,Rent
train ticket hyderabad payment,Travel
upi charity donation,Others
paid for indane postpaid bill,Bills
paid for blinkit milk,Grocery
stipend from startup,Salary
upi icici direct bonds,Investment
nutrabay protein powder order payment,Fitness
paid shop rent,Rent
phonepe gold bees via wazirx,Investment
ipo application via kuvera payment,Investment
airbnb booking payment,Travel
electricity bill payment for bescom,Bills
upi monthly gas booking,Bills
phonepe paid for mri scan,Health
paid for croma dress,Shopping
redbus booking,Travel
concert tickets via amazon prime,Entertainment
paid for medicines,Health
apartment monthly rent payment payment,Rent
lunch at kfc payment,Food
paid for zerodha gold bees,Investment
phonepe reliance digital order,Shopping
nayara metro recharge payment,Transport
movie night booking via paytm movies payment,Entertainment
paytm nifty 50 via coin,Investment
whey protein via local gym,Fitness
paid for creatine via cult fit,Fitness
paytm trip to hyderabad,Travel
paid society maintenance,Rent
empire restaurant pizza,Food
paid for bowling,Entertainment
paytm nifty 50 via kuvera,Investment
paytm netmeds physiotherapy,Health
whey protein via muscleblaze,Fitness
bought fruits from spencers,Grocery
srl diagnostics mri scan,Health
tacos from kfc,Food
upi shopping at amazon,Shopping
upwork bonus payment,Salary
medplus eye checkup,Health
upi f45 fitness band,Fitness
reliance fresh veggies payment,Grocery
paid for decathlon running shoes,Shopping
upi paid for bus ticket,Transport
concert tickets via inox,Entertainment
tickets on hotstar payment,Entertainment
paytm hotel in mumbai via makemytrip,Travel
upi uber ride to airport via delhi metro,Transport
paytm paid upi app error,Others
paid wifi bill payment,Bills
upi bought sports bra from reliance digital,Shopping
paid for gaming,Entertainment
paid for myntra order,Shopping
bought bread from reliance fresh payment,Grocery
dinner thali,Food
paid for decathlon order,Shopping
trip to manali,Travel
unknown upi transfer payment,Others
blinkit veggies payment,Grocery
apollo pharmacy surgical mask,Health
paid pg accommodation,Rent
paid for bharat petroleum metro recharge,Transport
bought amazon gadget order from flipkart payment,Shopping
upi 1mg doctor consultation,Health
upi hostel room rent payment,Rent
paid for invested in fd,Investment
auto fare via blusmart,Transport
phonepe metro recharge via delhi metro,Transport
healthkart zumba classes,Fitness
doctor consultation at medplus,Health
bsnl dth recharge,Bills
upi udemy workshop,Education
paytm etmoney gold bees,Investment
upi monthly pg accommodation,Rent
monthly veggies,Grocery
phonepe paid for vitamins,Health
mutual fund SIP,Investment
upi oyo booking,Travel
upi bought daily essentials from star bazaar,Grocery
paid for paid for whey protein,Fitness
paytm healthkart protein powder order,Fitness
phonepe kuvera bonds,Investment
project advance from client payment,Salary
paid for golds gym creatine,Fitness
netflix subscription,Entertainment
paid for vitamins payment,Health
trip to singapore payment,Travel
monthly fruits,Grocery
paid for paid for museum entry,Entertainment
mcdonalds pizza,Food
upi rapido bike taxi,Transport
phonepe paid cash withdrawal,Others
haldirams order,Food
bharat petroleum car diesel,Transport
upi paid room maintenance,Rent
paid traffic challan,Others
local kirana rice and dal,Grocery
paid for received payment received,Salary
paytm hostel room rent payment,Rent
paid for instamart groceries,Grocery
upi transfer for pg accommodation payment,Rent
freelance salary payment,Salary
paytm upi charity donation,Others
tata cliq order,Shopping
starbucks tacos payment,Food
phonepe spencers rice and dal,Grocery
paid security deposit payment,Rent
paid hostel room rent,Rent
paid for hp gas gas booking,Bills
upi blinkit milk,Grocery
upi blusmart cab ride,Transport
upi transfer for office rent payment,Rent
paytm paid for physiotherapy,Health
phonepe paid for whey protein,Fitness
paid loan repayment,Others
paid for fitness band payment,Fitness
paid for paid charity donation,Others
postpaid bill for hp gas,Bills
paid for flipkart sneakers,Shopping
phonepe invested in fd,Investment
monthly daily essentials,Grocery
uber car diesel,Transport
paneer butter masala from cafe coffee day,Food
paytm edx workshop,Education
upi fitness band via cult fit,Fitness
paid for bought watch from myntra,Shopping
upi theme park via hotstar,Entertainment
uber ride to airport,Transport
phonepe etmoney mutual fund sip,Investment
upi myprotein fitness band,Fitness
paytm upi pocket money,Others
paytm binance ppf contribution,Investment
paid for upi to eats,Food
received payment received payment,Salary
hostel room rent payment payment,Rent
upi paid traffic challan,Others
paytm upi upi app error,Others
shopping at myntra,Shopping
paytm cricket match ticket via steam,Entertainment
upi paid tuition fee,Education
upi monthly eggs,Grocery
paid for paid gift for friend,Others
upi creatine via golds gym,Fitness
phonepe reliance digital sports bra,Shopping
phonepe invested in gold bees,Investment
cab ride via namma metro,Transport
phonepe hotstar subscription,Entertainment
received consulting fee payment,Salary
upi paid for ipl ticket,Entertainment
adani electricity gas booking payment,Bills
upi paid pocket money,Others
bought daily essentials from local kirana,Grocery
paytm paid charity donation,Others
noodles from mcdonalds,Food
paytm ajio order,Shopping
paytm upi missing cash,Others
college school bus fee,Education
chicken biryani from pizzahut,Food
paid for ipo application via kuvera,Investment
upi charity donation payment,Others
paytm namma metro fastag recharge,Transport
upi paid for cricket match ticket,Entertainment
xray at srl diagnostics,Health
paid for dentist payment,Health
paytm bought milk from star bazaar,Grocery
phonepe monthly society maintenance,Rent
paid for swimming pool membership payment,Fitness
upi books purchase for edx,Education
phonepe paid for noodles,Food
fiverr project advance,Salary
local kirana veggies,Grocery
upi monthly lease agreement fee,Rent
sbi stock market investment payment,Investment
upi wipro consulting fee,Salary
tata cliq mobile cover payment,Shopping
pharmeasy eye checkup payment,Health
pizza from empire restaurant payment,Food
paid property tax,Bills
paid for bmtc bike taxi,Transport
bought cleaning supplies from bigbasket payment,Grocery
paid for electricity bill payment for act fibernet,Bills
paid for unacademy exam registration fee,Education
college tuition fee,Education
phonepe uber ride to airport via shell,Transport
paid for books purchase for byjus,Education
workshop for unacademy payment,Education
paytm trip to dubai,Travel
paid for monthly mobile recharge,Bills
paid for hp gas property tax,Bills
phonepe bought daily essentials from reliance fresh,Grocery
paid for college semester fee for local tuition,Education
phonepe local chemist vitamins,Health
upi shopping at nike,Shopping
upi puma order,Shopping
paid for office commute via rapido,Transport
upi to dominos,Food
puma electronics,Shopping
upi apollo pharmacy mri scan,Health
monthly snacks,Grocery
paid dth recharge payment,Bills
paid stationery,Education
paytm school exam registration fee,Education
car diesel via dtc,Transport
phonepe bmtc metro recharge,Transport
phonepe local kirana fruits,Grocery
gaming via paytm movies,Entertainment
phonepe apartment monthly rent payment,Rent
paid for paid college semester fee,Education
paid for hotstar subscription,Entertainment
upi paid hostel mess fee,Education
upi myprotein badminton court booking,Fitness
paid security deposit,Rent
upi temple donation payment,Others
paid for marathon registration,Fitness
etmoney ppf contribution,Investment
dentist at 1mg,Health
upi f45 creatine,Fitness
zara smartwatch payment,Shopping
upi paid for uber ride to airport,Transport
paid for surgical mask at lal path labs,Health
upi reliance digital order,Shopping
paid for received freelance salary payment,Salary
paytm rapido car diesel,Transport
ipo application via upstox payment,Investment
monthly broadband recharge payment,Bills
upi paid for shawarma,Food
car diesel via delhi metro,Transport
phonepe school certification fee,Education
paid for namma metro car diesel,Transport
paid for epic games subscription,Entertainment
received salary credited payment,Salary
paid for shell car diesel,Transport
1mg dentist,Health
cafe coffee day paneer butter masala payment,Food
paid for westside tshirt,Shopping
air india flight to pune,Travel
phonepe lunch at eats,Food
paytm escape room via amazon prime,Entertainment
upi bigbasket eggs,Grocery
nike winter jacket,Shopping
tickets on paytm movies payment,Entertainment
tata power electricity bill payment payment,Bills
paid for tacos,Food
paid for barbeque nation noodles,Food
upi paid charity donation,Others
phonepe hp gas electricity bill payment,Bills
monthly postpaid bill,Bills
car diesel via uber payment,Transport
health checkup at practo,Health
stationery for udemy,Education
yoga subscription via myprotein,Fitness
phonepe healthians medicines,Health
monthly pg accommodation payment,Rent
paytm bonus from tcs,Salary
paid for zerodha rd,Investment
phonepe temple donation,Others
upi coin mutual fund sip,Investment
phonepe surgical mask at pharmeasy,Health
traffic challan,Others
upi gift for friend payment,Others
swiggy fruits,Grocery
paid for monthly milk,Grocery
upi uber ride to airport via bharat petroleum,Transport
trip to pune,Travel
paid for gas booking for bwssb,Bills
paid for dmart eggs,Grocery
paytm etmoney nps,Investment
tickets on youtube premium payment,Entertainment
upi fitness band via nutrabay,Fitness
paytm office rent payment,Rent
phonepe consulting fee from tcs,Salary
paytm paid exam registration fee,Education
fiverr neft from employer,Salary
zerodha fd,Investment
paid for pizzahut sandwich,Food
paytm received freelance salary payment,Salary
paid for flat rent payment,Rent
paid for neft from employer from fiverr,Salary
paytm bought electronics from myntra,Shopping
phonepe upi gift for friend,Others
masala dosa from pizzahut,Food
paid for muscleblaze marathon registration,Fitness
paytm byjus school bus fee,Education
upi bike petrol refill via bharat petroleum,Transport
upi uber ride to airport via shell,Transport
paytm paid hostel mess fee,Education
phonepe udipi darshini order,Food
paytm monthly pg accommodation,Rent
paid for theme park,Entertainment
paid for property tax for mcgm,Bills
paytm charity donation,Others
clinic visit at healthians,Health
doctor consultation at netmeds payment,Health
school bus fee for byjus payment,Education
paytm gas booking for bwssb,Bills
paid for shopping at ajio,Shopping
pastries from kfc payment,Food
paytm physiotherapy at practo,Health
upwork consulting fee payment,Salary
toll tax via blusmart,Transport
oyo flight to pune,Travel
upi uber cab ride,Transport
water bill for bwssb,Bills
books purchase for local tuition,Education
paid for sbi rd,Investment
paytm bought jeans from flipkart,Shopping
paid for chicken biryani,Food
school bus fee for local tuition,Education
paid for shopping at westside,Shopping
paytm tickets on netflix,Entertainment
phonepe spencers veggies,Grocery
hotel in chennai via cleartrip payment,Travel
upi tickets on steam,Entertainment
paid for medplus mri scan,Health
train ticket pune payment,Travel
paytm dth recharge for bharat gas,Bills
paid for udemy course,Education
paid for health checkup payment,Health
bigbasket rice and dal,Grocery
upi hotel in singapore via airbnb,Travel
rd via angel one payment,Investment
paid for lunch at zomato,Food
bought milk from swiggy,Grocery
zumba classes via f45 payment,Fitness
physiotherapy at 1mg,Health
phonepe bookmyshow subscription,Entertainment
phonepe movie night booking via hotstar,Entertainment
clinic visit at pharmeasy,Health
paytm paid for metro recharge,Transport
paid for paid for tacos,Food
bought amazon gadget order from h&m,Shopping
upi bought snacks from star bazaar,Grocery
upi eye checkup at local chemist,Health
phonepe monthly milk,Grocery
phonepe paid for creatine,Fitness
upi kfc order,Food
upi bharat petroleum fastag recharge,Transport
fiverr consulting fee,Salary
phonepe flat rent payment,Rent
paytm coursera workshop,Education
cafe coffee day chicken biryani payment,Food
monthly society maintenance,Rent
phonepe binance ipo application,Investment
paid for upi cash withdrawal,Others
paid for yoga subscription,Fitness
tickets on paytm movies,Entertainment
bus ticket via blusmart,Transport
paid for bowling via bookmyshow,Entertainment
phonepe bike petrol refill via ola,Transport
upi client freelance salary payment,Salary
phonepe trip to singapore,Travel
phonepe upi transfer for office rent,Rent
paid for apartment monthly rent payment,Rent
upi invested in nps,Investment
train ticket singapore payment,Travel
upi upi missing cash,Others
upi yoga subscription via local gym,Fitness
paid for monthly veggies,Grocery
train ticket jaipur,Travel
paid for gift for friend,Others
paid for movie night booking,Entertainment
angel one ipo application payment,Investment
paid for toll tax payment,Transport
upi ksrtc flight to hyderabad,Travel
upi upwork bonus,Salary
paid for upi transfer for lease agreement fee,Rent
paid gift for friend payment,Others
exam registration fee for unacademy,Education
standup comedy via paytm movies,Entertainment
phonepe freelance salary payment from accenture,Salary
bought tshirt from tata cliq,Shopping
upi pvr subscription,Entertainment
paid for irctc flight to hyderabad,Travel
paid water bill,Bills
1mg hospital bill,Health
paid for youtube premium subscription,Entertainment
music festival via sony liv payment,Entertainment
upi paid for whey protein,Fitness
paid unknown upi transfer payment,Others
rd via etmoney,Investment
nayara toll tax,Transport
bought bread from natures basket,Grocery
paytm missing cash,Others
paytm paid for gaming,Entertainment
paid for received stipend,Salary
meesho tshirt,Shopping
paid for crypto via coin,Investment
college semester fee for unacademy payment,Education
upi paid fine payment,Others
apartment monthly rent payment,Rent
upi blood test at 1mg,Health
bought snacks from spencers payment,Grocery
paytm netmeds clinic visit,Health
upi received salary credited,Salary
bought groceries from natures basket,Grocery
gym trainer fee,Fitness
bharat petroleum bike petrol refill payment,Transport
paid for dinner noodles,Food
paid for escape room via spotify,Entertainment
fitness band via myprotein,Fitness
paytm school tuition fee,Education
paid for apollo pharmacy health checkup,Health
indigo flight to singapore,Travel
paid for blood test,Health
accenture stipend payment,Salary
paid for lifestyle sports bra,Shopping
upi tickets on youtube premium,Entertainment
upi invested in crypto,Investment
whey protein via f45,Fitness
paid cash withdrawal,Others
paid for tickets on steam,Entertainment
upi paid books purchase,Education
paid for marathon registration via local gym,Fitness
paid for pocket money,Others
haldirams burger,Food
phonepe yatra booking,Travel
zumba classes via f45,Fitness
ksrtc flight to pune,Travel
upi transfer for room maintenance,Rent
agoda flight to kerala,Travel
upi traffic challan,Others
phonepe zomato order,Food
lifestyle order payment,Shopping
doctor consultation,Health
paytm paid cash withdrawal,Others
paid for bowling via pvr,Entertainment
bought fruits from reliance fresh payment,Grocery
upi paid for paneer butter masala,Food
bike petrol refill via blusmart payment,Transport
reliance fresh bread payment,Grocery
upi monthly room maintenance,Rent
shopping at amazon,Shopping
paytm hostel mess fee for unacademy,Education
shopping at tata cliq,Shopping
paytm bought running shoes from puma,Shopping
upi paid for pastries,Food
phonepe paid gift for friend,Others
paid for empire restaurant order,Food
paytm coin stock market investment,Investment
upi netflix subscription,Entertainment
air india booking,Travel
paytm fastag recharge via bmtc,Transport
paytm paid temple donation,Others
paytm tuition fee for unacademy,Education
invested in nifty 50 payment,Investment
paid apartment monthly rent,Rent
paid for momos,Food
upi paid for fitness band,Fitness
upi epic games subscription,Entertainment
upi trip to bangalore,Travel
bought veggies from star bazaar payment,Grocery
paytm monthly lease agreement fee,Rent
1mg clinic visit payment,Health
phonepe pvr subscription,Entertainment
upi monthly monthly ration,Grocery
theme park via pvr,Entertainment
upi nps via zerodha,Investment
property tax for indane,Bills
paytm neft from employer from client,Salary
indane property tax,Bills
paid for paid for paneer butter masala,Food
stationery for university,Education
paytm airbnb booking,Travel
phonepe paid for bowling,Entertainment
phonepe monthly office rent,Rent
cult fit badminton court booking payment,Fitness
society maintenance payment,Rent
paid for paid for mri scan,Health
paytm paid gift for friend,Others
monthly wifi bill payment,Bills
paid for paid for pizza,Food
phonepe hp gas property tax,Bills
upi tickets on spotify,Entertainment
natures basket eggs payment,Grocery
paytm monthly mobile recharge,Bills
bought groceries from dmart,Grocery
stock market investment via kuvera,Investment
upi zepto daily essentials,Grocery
phonepe paid lease agreement fee,Rent
paid for stipend from upwork,Salary
phonepe received neft from employer,Salary
upi paid mobile recharge,Bills
books purchase for college,Education
hotel in hyderabad via makemytrip,Travel
paid for adani electricity wifi bill,Bills
